,source,target,weight
0,DicF,ftsZ,-1
1,DicF,manX,-1
2,DicF,pykA,-1
3,DicF,xylR,-1
4,DsrA,hns,-1
5,DsrA,lrp,-1
6,DsrA,rbsA,-1
7,DsrA,rbsB,-1
8,DsrA,rbsC,-1
9,DsrA,rbsD,-1
10,DsrA,rbsK,-1
11,DsrA,rbsR,-1
12,DsrA,rbsZ,-1
13,Hfq,manX,-1
14,RplD,tnaA,-1
15,RplM,rplM,-1
16,RplM,rpsI,-1
17,RplT,rplT,-1
18,RplT,rpmI,-1
19,RplY,rplY,-1
20,RpmE,rpmE,-1
21,RpsA,manY,1
22,RpsA,rpsA,-1
23,RpsH,secY,-1
24,RpsH,rplE,-1
25,RpsH,rplF,-1
26,RpsH,rplN,-1
27,RpsH,rplO,-1
28,RpsH,rplR,-1
29,RpsH,rplX,-1
30,RpsH,rpmD,-1
31,RpsH,rpsE,-1
32,RpsH,rpsH,-1
33,RpsH,rpsN,-1
34,RpsH,rpmJ,-1
35,RpsO,rpsO,-1
36,CsrA,moaA,1
37,CsrA,moaB,1
38,CsrA,moaD,1
39,CsrA,moaE,1
40,CsrA,moaC,1
41,CsrA,rpoE,-1
42,CsrA,idlP,-1
43,CsrA,ytiC,-1
44,CsrA,ytiD,-1
45,CsrA,ymdA,1
46,CsrA,iraD,-1
47,GcvB,cstA,-1
48,GcvB,gdhA,-1
49,GcvB,ilvD,-1
50,GcvB,lrp,-1
51,GcvB,map,-1
52,GcvB,phoP,-1
53,GcvB,phoQ,-1
54,GcvB,ydeE,-1
55,McaS,flhC,1
56,McaS,flhD,1
57,McaS,csgG,-1
58,McaS,csgF,-1
59,McaS,csgE,-1
60,McaS,csgD,-1
61,MicF,lrp,-1
62,OxyS,flhC,-1
63,OxyS,flhD,-1
64,ChiX,chiZ,-1
65,ChiX,dpiB,-1
66,ChiX,dpiA,-1
67,ChiX,chiP,-1
68,ChiX,chiQ,-1
69,SgrS,manX,-1
70,SgrS,manY,-1
71,SgrS,manZ,-1
72,SgrS,ptsG,-1
73,SgrS,purR,-1
74,SgrS,yeiB,-1
75,SgrS,folE,-1
76,SgrS,adiY,-1
77,IstR-1,tisB,-1
78,RseX,fimB,-1
79,RseX,ihfB,-1
80,RydC,pheA,-1
81,RydC,trpA,1
82,RydC,trpB,1
83,RydC,trpC,1
84,RydC,trpD,1
85,RydC,trpE,1
86,RydC,trpL,1
87,RydC,cfa,1
88,MgrR,soxS,-1
89,FnrS,maeA,-1
90,FnrS,sodB,-1
91,FnrS,gpmA,-1
92,FnrS,iscR,-1
93,ArrS,cfa,1
94,SdsN,hmp,-1
95,SdsN,nfsA,-1
96,SdsN,narP,-1
97,RalA,ralR,-1
98,MicL-S,lpp,-1
99,CpxQ,cfa,-1
100,SdhX,ackA,-1
101,SdhX,fdhE,-1
102,SdhX,katG,-1
103,SdhX,fdoI,-1
104,SdhX,fdoH,-1
105,SdhX,fdoG,-1
106,C0293,fadR,-1
107,C0293,iroK,-1
108,C0293,hcaR,-1
109,RprA,rpoS,1
110,RprA,hdeD,-1
111,RprA,narP,-1
112,RprA,csgG,-1
113,RprA,csgF,-1
114,RprA,csgE,-1
115,RprA,csgD,-1
116,RprA,dgcM,-1
117,RybB,nmpC,-1
118,RybB,ompF,-1
119,RybB,rbsB,-1
120,RybB,sdhC,-1
121,RybB,rluD,-1
122,RybB,fiu,-1
123,RybB,csgG,-1
124,RybB,csgF,-1
125,RybB,csgE,-1
126,RybB,csgD,-1
127,SdsR,tolC,-1
128,SdsR,zapG,-1
129,CyaR,rpoS,-1
130,CyaR,nadE,-1
131,CyaR,hdeD,-1
132,CyaR,luxS,-1
133,CyaR,yobF,-1
134,CyaR,yqaE,-1
135,OmrB,cirA,-1
136,OmrB,fepA,-1
137,OmrB,flhC,-1
138,OmrB,flhD,-1
139,OmrB,ompR,-1
140,OmrB,ompT,-1
141,OmrB,flgM,-1
142,OmrB,csgG,-1
143,OmrB,csgF,-1
144,OmrB,csgE,-1
145,OmrB,csgD,-1
146,OmrB,dgcM,-1
147,Spf,araF,-1
148,Spf,ascF,-1
149,Spf,fucP,-1
150,Spf,gdhA,-1
151,Spf,sthA,-1
152,Spf,nanT,-1
