"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
0,2.05887976278278,0,4.55993876356961,0,0,-0.509476029877648,0,0,-0.328801589610342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685561982151176,0,0,-2.17958955552787,0,0,0.357732583179345,0,-3.63369435499133,0,0,0,0,0,0,0,0,0,0.424137561220644,0,0.0994634875565792,0.75032390748109,0,0,-0.201597564261955,0,0,0,1.12964251409029,15.3786285116675,0,0,0.000963390776553608,0,0,0,0,0,0,0,0,0,1.11633121330575,0.170238998725526,0,0,0,0,0,0,0,0,0,0,0,-0.171266212263527,0,0,0,-8.09293817489014,0,0,0,0,4.95131316592619,0,0,-0.0551925588465145,0,-0.389336974566218,0,0,0,0,0,1.5910739414188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54814235571541,0,0,0.453739946744879,0.449204602699652,0,0,0,0,0,0.918144861281432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154378488953475,1.80724292745947,0,0,0,0,0.69950969954415,0,-0.690183670329898,-0.364209825900839,-3.49508993546912,0,-1.17982287687975,0,0,0,0,0,0,0,0,0,0.532319775984773,-0.322150547660226,0,0,0.971119071965745,0,0,0,0,0,-1.55494314062233,0,0,0,0,0,0,-1.46068507391898,0,0,0.363206232837534,0,0,0,-0.0906689453090483,0,0,0,0,0
-0.575500518588684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149548718961143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4563777564254,0,0,0,0,0,0,0,0,0,0.373630716155223,0,0,0,0,0,0,0,0,0,-0.30972446224784,0,0,0,0,0,0,0,0,0,-3.47913933897186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97407604850448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206773852787374,0.497101556557674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.40450652165183,-0.128061105180407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0273049415001931,0,0,0,0,0,0,0,0,0,0,0,0.0610602774788869
-0.60942295260058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22122088538527,0,0,0,0,0,0,0,0,0,0.0115458715545926,0,0,0,0,0,0,0,0,0,-0.264532364678985,0,0,0,0,0,0,0,0,0,-3.16602328716576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591355554046109,0,0,0,0,0,0,0,0,0,0,2.12142956546168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567441365756316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00618088328032496,0,0,0,0,0,0,0,0,-1.35590194780299,-0.00201961384993643,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.461540315231451,0,0,0,0,0,0,0,0,0,0.228571948690504,0,0,0,0,0,0,0.495881916663577
0,0,0,0,0,0,0,0,0,-0.403256000531073,0,0,0,0,0,0.518166420884388,0,-2.94791482493159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176644749347631,0,0,-1.94865899674012,0,0,0,0,8.44424954651938,1.10913609839837,0,0,0,0,0,0,1.00340965771779,0,0,0,0,0,0,0,0,0,-0.0896844898361777,0,0,0,0,0,-0.881468154830558,0,0,0,0.499501721936032,0,0,0.453200025366277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59267310207364,0,1.06278377160363,0,0,0,0,0,0,0,0,0,0,0,1.69429429181389,-1.60200867710946,0,-0.00752521891941749,0,0.420121803379688,0,0.794042977678163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.502931595391235,0,0,0,0,-0.170100666273312,0,-1.01220348987097,0,0.961091853505255,0,0,0,0,0,0,0,0,0,0,-1.33459656785626,-0.907571933818319,0,0,-1.8340729677748,0,0,0,0,0,0,0,-0.337364672411603,0,0,0,0,0,0,0,-0.175444403579394,0.217354656457764,1.05850105549882,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488259900644372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09827702357452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132617095132976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.373659756287203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.49886346730669,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296124375813992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127341245187984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59614734889054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-0.184450503643925,0,0,0.286385423860237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.605255400496861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145922490607666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155003457855002,0,0,0.00186723067661765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195609865880564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.507066557523423,-0.0808430956660924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.485055930258067,0.214126448696477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509842081174267,0,0,0,-0.0464812776037782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.599204370361423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
