All-Genes	Accession-1	Names
acs	b4069	acs // yfaC // acsA // b4069 // ECK4062
actP	b4067	actP // yjcG // b4067 // ECK4060
actS	b2865	actS // ygeR // b2865 // ECK2861
ada	b2213	ada // b2213 // ECK2205
add	b1623	add // b1623 // ECK1618
adeD	b3665	adeD // adu // yicP // ade // b3665 // ECK3656
adeP	b3714	adeP // yieG // purP // b3714 // ECK3707
adeQ	b3664	adeQ // yicO // b3664 // ECK3655
adhE	b1241	adhE // adhC // ana // b1241 // ECK1235
adhP	b1478	adhP // yddN // b1478 // ECK1472
adiA	b4117	adiA // adi // b4117 // ECK4110
adiC	b4115	adiC // yjdD // yjdE // b4115 // ECK4108
adiY	b4116	adiY // b4116 // ECK4109
adk	b0474	adk // dnaW // plsA // b0474 // ECK0468
aegA	b2468	aegA // yffG // b2468 // ECK2463
aer	b3072	aer // yqjJ // air // b3072 // ECK3062
aes	b0476	aes // ybaC // b0476 // ECK0470
afuB	b0263	afuB // fbpB // b0263 // ECK0265
afuC	b0262	afuC // fbpC // yagC // b0262 // ECK0264
agaA	b3135	agaA // yraA // b3135 // ECK3123
agaB	b3138	agaB // yraD // b3138 // ECK3126
agaC	b3139	agaC // yraE // b3139 // ECK3127
agaD	b3140	agaD // yraF // b3140 // ECK3128
agaI	b3141	agaI // yraG // b3141 // ECK3129
agaR	b3131	agaR // yhaW // b3131 // ECK3119
agaS	b3136	agaS // yraB // b3136 // ECK3124
agaV	b3133	agaV // yhaY // b3133 // ECK3121
agaW	b3134	agaW // yhaZ // b3134 // ECK3122
agp	b1002	agp // b1002 // ECK0993
agrA	b4712	agrA // b4712 // ECK4569
agrB	b4713	agrB // b4713 // ECK4570
ahpC	b0605	ahpC // tpx // ssi8 // b0605 // ECK0599
ahpF	b0606	ahpF // b0606 // ECK0600
ahr	b4269	UNCLASSIFIED
aidB	b4187	aidB // b4187 // ECK4183
ais	b2252	ais // pagH // pmrG // b2252 // ECK2245
alaA	b2290	alaA // yfbQ // b2290 // ECK2284
alaB		alaB
alaC	b2379	alaC // yfdZ // b2379 // ECK2375
alaE	b2670	alaE // ygaW // b2670 // ECK2664
alaS	b2697	alaS // act // ala-act // lovB // b2697 // ECK2692
alaT	b3853	alaT // talA // b3853 // ECK3845
alaU	b3276	alaU // talD // b3276 // ECK3263
alaV	b0203	alaV // b0203 // ECK0203
alaW	b2397	alaW // alaWalpha // b2397 // ECK2391
alaX	b2396	alaX // alaWbeta // b2396 // ECK2390
aldA	b1415	aldA // ald // b1415 // ECK1408
aldB	b3588	aldB // yiaX // b3588 // ECK3577
alkA	b2068	alkA // aidA // b2068 // ECK2062
alkB	b2212	alkB // aidD // b2212 // ECK2204
allA	b0505	allA // glxA2 // ybbT // b0505 // ECK0498
allB	b0512	allB // glxB3 // ybbX // b0512 // ECK0505
allC	b0516	allC // glxB7 // ylbB // b0516 // ECK0509
allD	b0517	allD // glxB8 // ylbC // b0517 // ECK0510
allE	b0515	allE // glxB6 // ylbA // ughY // b0515 // ECK0508
allR	b0506	allR // glxA3 // ybbU // b0506 // ECK0499
allS	b0504	allS // ybbS // glxA1 // b0504 // ECK0497
allW	b0511	allW // allP // glxB2 // ybbW // b0511 // ECK0504
allZ	b4831	UNCLASSIFIED
alpA	b2624	alpA // b2624 // ECK2620
alr	b4053	alr // alr5 // b4053 // ECK4045
alsA	b4087	alsA // yjcW // b4087 // ECK4080
alsB	b4088	alsB // yjcX // b4088 // ECK4081
alsC	b4086	alsC // yjcV // b4086 // ECK4079
alsE	b4085	alsE // yjcU // b4085 // ECK4078
alsK	b4084	alsK // yjcT // b4084 // ECK4077
alsR	b4089	alsR // yjcY // rpiR // b4089 // ECK4082
alx	b3088	alx // ygjT // b3088 // ECK3079
ameF	b4844	ameF // b4844 // ECK4701
amiA	b2435	amiA // yfeE // b2435 // ECK2430
amiB	b4169	amiB // yjeD // b4169 // ECK4165
amiC	b2817	amiC // ygdN // b2817 // ECK2813
amiD	b0867	amiD // ybjR // b0867 // ECK0858
amn	b1982	amn // b1982 // ECK1977
ampC	b4150	ampC // ampA // b4150 // ECK4146
ampD	b0110	ampD // b0110 // ECK0109
ampE	b0111	ampE // b0111 // ECK0110
ampG	b0433	ampG // b0433 // ECK0427
ampH	b0376	ampH // yaiH // b0376 // ECK0371
amtB	b0451	amtB // ybaG // b0451 // ECK0445
amyA	b1927	amyA // yedC // b1927 // ECK1926
anmK	b1640	anmK // ydhH // b1640 // ECK1636
ansA	b1767	ansA // b1767 // ECK1765
ansB	b2957	ansB // b2957 // ECK2952
ansP	b1453	ansP // yncF // b1453 // ECK1447
apaG	b0050	apaG // b0050 // ECK0051
apaH	b0049	apaH // cfcB // b0049 // ECK0050
aphA	b4055	aphA // yjbP // hobH // b4055 // ECK4047
appA	b0980	appA // b0980 // ECK0971
appB	b0979	appB // cbdB // cyxB // b0979 // ECK0970
appC	b0978	appC // cbdA // cyxA // b0978 // ECK0969
appX	b4592	appX // yccB // cbdX // b4592 // ECK4402
appY	b0564	appY // b0564 // ECK0556
apt	b0469	apt // b0469 // ECK0463
aqpZ	b0875	aqpZ // bniP // b0875 // ECK0866
araA	b0062	araA // b0062 // ECK0063
araB	b0063	araB // b0063 // ECK0064
araC	b0064	araC // b0064 // ECK0065
araD	b0061	araD // b0061 // ECK0062
araE	b2841	araE // b2841 // ECK2839
araF	b1901	araF // b1901 // ECK1899
araG	b1900	araG // b1900 // ECK1898
araH	b4460	araH // b1898 // b1899 // b4460 // ECK1897
araJ	b0396	araJ // araT // b0396 // ECK0390
arcA	b4401	arcA // sfrA // cpxC // dye // fexA // msp // seg // b4401 // ECK4393
arcB	b3210	arcB // b3210 // ECK3200
arcZ	b4450	arcZ // psrA16 // sraH // ryhA // b4450 // ECK3199
arfA	b4550	arfA // yhdL // b4550 // ECK3278
arfB	b0191	arfB // yaeJ // b0191 // ECK0191
argA	b2818	argA // Arg2 // Arg1 // b2818 // ECK2814
argB	b3959	argB // b3959 // ECK3950
argC	b3958	argC // Arg2 // b3958 // ECK3949
argD	b3359	argD // Arg1 // dapC // dtu // b3359 // ECK3347
argE	b3957	argE // b3957 // ECK3948
argF	b0273	argF // b0273 // ECK0274
argG	b3172	argG // b3172 // ECK3161
argH	b3960	argH // b3960 // ECK3951
argI	b4254	argI // b4254 // ECK4247
argK	b2918	UNCLASSIFIED
argL	b4766	argL // b4766 // ECK4623
argO	b2923	argO // yggA // b2923 // ECK2919
argP	b2916	argP // iciA // b2916 // ECK2912
argQ	b2691	argQ // argVdelta // b2691 // ECK2686
argR	b3237	argR // Rarg // xerA // b3237 // ECK3226
argS	b1876	argS // lov // lov-1 // b1876 // ECK1877
argT	b2310	argT // b2310 // ECK2304
argU	b0536	argU // dnaY // pin // b0536 // ECK0529
argV	b2694	argV // argValpha // b2694 // ECK2689
argW	b2348	argW // b2348 // ECK2342
argX	b3796	argX // b3796 // ECK3789
argY	b2693	argY // argVbeta // b2693 // ECK2688
argZ	b2692	argZ // argVgamma // b2692 // ECK2687
ariR	b1166	ariR // ymgB // b1166 // ECK1153
arnA	b2255	arnA // SAF // yfbG // pmrI // b2255 // ECK2248
arnB	b2253	arnB // pmrH // yfbE // b2253 // ECK2246
arnC	b2254	arnC // pmrF // yfbF // b2254 // ECK2247
arnD	b2256	UNCLASSIFIED
arnE	b4544	arnE // yfbW // b4544 // ECK2251
arnF	b2258	arnF // yfbJ // b2258 // ECK2252
arnT	b2257	arnT // yfbI // pmrK // b2257 // ECK2250
aroA	b0908	aroA // b0908 // ECK0899
aroB	b3389	aroB // b3389 // ECK3376
aroC	b2329	aroC // b2329 // ECK2323
aroD	b1693	aroD // b1693 // ECK1691
aroE	b3281	aroE // b3281 // ECK3268
aroF	b2601	aroF // b2601 // ECK2598
aroG	b0754	aroG // b0754 // ECK0743
aroH	b1704	aroH // b1704 // ECK1702
aroK	b3390	aroK // b3390 // ECK3377
aroL	b0388	aroL // b0388 // ECK0383
aroM	b0390	UNCLASSIFIED
aroP	b0112	aroP // aroR // b0112 // ECK0111
arpA	b4017	arpA // arp // yjaC // b4017 // ECK4009
arpB	b4494	arpB // ydiW // ydiX // b1721 // b1720 // b4494 // ECK1718
arrS	b4704	UNCLASSIFIED
arsB	b3502	arsB // arsF // b3502 // ECK3487
arsC	b3503	arsC // arsG // b3503 // ECK3488
arsR	b3501	arsR // arsE // b3501 // ECK3486
artI	b0863	artI // b0863 // ECK0854
artJ	b0860	artJ // b0860 // ECK0851
artM	b0861	artM // b0861 // ECK0852
artP	b0864	artP // b0864 // ECK0855
artQ	b0862	artQ // b0862 // ECK0853
ascB	b2716	ascB // sac // b2716 // ECK2711
ascF	b2715	ascF // sac // b2715 // ECK2710
ascG	b2714	ascG // sac // b2714 // ECK2709
ascrp	b4841	ascrp // b4841 // ECK4698
asd	b3433	asd // dap // hom // b3433 // ECK3419
asflhD	b4839	asflhD // b4839 // ECK4696
aslA	b3801	aslA // gppB // atsA // b3801 // ECK3794
aslB	b3800	aslB // gppB // atsB // b3800 // ECK3793
asmA	b2064	asmA // yegA // b2064 // ECK2058
asnA	b3744	asnA // b3744 // ECK3738
asnB	b0674	asnB // b0674 // ECK0662
asnC	b3743	asnC // b3743 // ECK3737
asnS	b0930	asnS // lcs // tss // b0930 // ECK0921
asnT	b1977	asnT // b1977 // ECK1973
asnU	b1986	asnU // b1986 // ECK1981
asnV	b1989	asnV // b1989 // ECK1984
asnW	b1984	asnW // b1984 // ECK1979
asompR	b4842	UNCLASSIFIED
aspA	b4139	aspA // b4139 // ECK4133
aspC	b0928	aspC // b0928 // ECK0919
asphoP	b4843	UNCLASSIFIED
aspS	b1866	aspS // tls // b1866 // ECK1867
aspT	b3760	aspT // tasC // b3760 // ECK3754
aspU	b0206	aspU // b0206 // ECK0206
aspV	b0216	aspV // b0216 // ECK0216
aspX	b4825	aspX // b4825 // ECK4682
asr	b1597	asr // b1597 // ECK1592
astA	b1747	astA // ydjV // b1747 // ECK1745
astB	b1745	astB // ydjT // b1745 // ECK1743
astC	b1748	astC // ydjW // argM // cstC // b1748 // ECK1746
astD	b1746	astD // ydjU // b1746 // ECK1744
astE	b1744	astE // ydjS // b1744 // ECK1742
atoA	b2222	atoA // b2222 // ECK2215
atoB	b2224	atoB // b2224 // ECK2217
atoC	b2220	atoC // b2220 // ECK2213
atoD	b2221	atoD // b2221 // ECK2214
atoE	b2223	atoE // b2223 // ECK2216
atoS	b2219	atoS // b2219 // ECK2212
atpA	b3734	atpA // papA // uncA // b3734 // ECK3727
atpB	b3738	atpB // papD // uncB // b3738 // ECK3731
atpC	b3731	atpC // papG // uncC // b3731 // ECK3724
atpD	b3732	atpD // papB // uncD // b3732 // ECK3725
atpE	b3737	atpE // papH // uncE // b3737 // ECK3730
atpF	b3736	atpF // papF // uncF // b3736 // ECK3729
atpG	b3733	atpG // papC // uncG // b3733 // ECK3726
atpH	b3735	atpH // papE // uncH // b3735 // ECK3728
atpI	b3739	atpI // uncI // b3739 // ECK3732
avtA	b3572	avtA // b3572 // ECK3561
azoR	b1412	azoR // acpD // b1412 // ECK1405
azuC	b4663	azuC // b4663 // ECK4478
azuR	b4434	azuR // isrB // IS092 // G0-8904 // b4434 // ECK1902
b0017	b0017	yi82_1 // b0017
b0100	b0100	b0100 // b0100
b0105	b0105	b0105 // b0105
b0165	b0165	b0165 // b0165
b0309	b0309	b0309 // b0309
b0538	b0538	b0538
b0609	b0609	b0609
b0701	b0701	rhsC // b0701
b0725	b0725	b0725 // b0725
b1052	b1052	b1052 // b1052
b1354	b1354	b1354
b1364	b1364	b1364 // b1364
b1367	b1367	b1367
b1425	b1425	b1425
b1437	b1437	b1437
b1903	b1903	b1903
b2084	b2084	b2084
b2191	b2191	b2191 // b2191
b2596	b2596	b2596
b2651	b2651	b2651 // b2651
b2653	b2653	b2653
b3004	b3004	b3004
b3007	b3007	b3007
b3254	b3254	b3254 // b3254
b3975	b3975	b3975
b4247	b4247	b4247
b4250	b4250	b4250
b4700	b4700	b4700 // b4700 // ECK4512
bacA	b3057	bacA // uppP // b3057 // ECK3047
baeR	b2079	baeR // b2079 // ECK2075
baeS	b2078	baeS // b2078 // ECK2074
bamA	b0177	bamA // yzzY // yzzN // ecfK // yaeT // b0177 // ECK0176
bamB	b2512	bamB // yfgL // b2512 // ECK2508
bamC	b2477	bamC // dapX // nlpB // b2477 // ECK2473
bamD	b2595	bamD // ecfD // yfiO // b2595 // ECK2593
bamE	b2617	bamE // smpA // smqA // b2617 // ECK2613
barA	b2786	barA // airS // b2786 // ECK2780
basR	b4113	basR // pmrA // b4113 // ECK4106
basS	b4112	basS // pmrB // dgkR // b4112 // ECK4105
bax	b3570	UNCLASSIFIED
baxL	b4794	baxL // b4794 // ECK4651
bcp	b2480	bcp // b2480 // ECK2476
bcr	b2182	bcr // bicA // bicR // sur // suxA // b2182 // ECK2176
bcsA	b3533	bcsA // yhjP // yhjO // b3533 // ECK3518
bcsB	b3532	bcsB // yhjN // b3532 // ECK3517
bcsC	b3530	bcsC // yhjL // b3530 // ECK3515
bcsE	b3536	UNCLASSIFIED
bcsF	b3537	bcsF // yhjT // b3537 // ECK3522
bcsG	b3538	bcsG // yhjU // b3538 // ECK3523
bcsQ	b3534	bcsQ // yhjQ // b3534 // ECK3519
bcsZ	b3531	bcsZ // bcsC // yhjM // b3531 // ECK3516
bdcA	b4249	bdcA // yjgI // b4249 // ECK4243
bdcR	b4251	bdcR // yjgJ // b4251 // ECK4244
bdm	b1481	bdm // yddX // b1481 // ECK1475
beeE	b1151	beeE // ymfO // b1151 // ECK1137
bepA	b2494	bepA // yfgC // b2494 // ECK2490
betA	b0311	betA // b0311 // ECK0309
betB	b0312	betB // b0312 // ECK0310
betI	b0313	betI // b0313 // ECK0311
betT	b0314	betT // b0314 // ECK0312
bfd	b3337	bfd // yheA // b3337 // ECK3324
bfr	b3336	bfr // b3336 // ECK3323
bglA	b2901	bglA // yqfC // bglD // b2901 // ECK2896
bglB	b3721	bglB // blgA // b3721 // ECK3714
bglF	b3722	bglF // bglS // b3722 // ECK3715
bglG	b3723	bglG // bglC // b3723 // ECK3716
bglH	b3720	bglH // yieC // b3720 // ECK3713
bglJ	b4366	bglJ // yjjR // b4366 // ECK4356
bglX	b2132	bglX // glh // yohA // b2132 // ECK2125
bhsA	b1112	bhsA // ycfR // comC // b1112 // ECK1098
bhsB	b4832	UNCLASSIFIED
bidA	b1593	bidA // ynfK // b1593 // ECK1588
bioA	b0774	bioA // b0774 // ECK0763
bioB	b0775	bioB // b0775 // ECK0764
bioC	b0777	bioC // b0777 // ECK0766
bioD	b0778	bioD // b0778 // ECK0767
bioF	b0776	bioF // b0776 // ECK0765
bioH	b3412	bioH // bioB // b3412 // ECK3399
bioP	b3827	bioP // yigM // b3827 // ECK3821
bipA	b3871	bipA // typA // yihK // b3871 // ECK3864
birA	b3973	birA // bioR // dhbB // b3973 // ECK3965
bisC	b3551	bisC // b3551 // ECK3538
blc	b4149	UNCLASSIFIED
blr	b4409	blr // b4409 // ECK1620
bluF	b1163	bluF // ycgF // b1163 // ECK1150
bluR	b1162	bluR // ycgE // b1162 // ECK1149
bolA	b0435	bolA // b0435 // ECK0429
borD	b0557	borD // iss // vboR // bor // ybcU // b0557 // ECK0549
brnQ	b0401	brnQ // hrbA // b0401 // ECK0395
bsmA	b4189	bsmA // yjfO // b4189 // ECK4185
bssR	b0836	bssR // yliH // b0836 // ECK0826
bssS	b1060	bssS // yceP // b1060 // ECK1045
btsR	b2125	btsR // yehT // b2125 // ECK2117
btsS	b2126	btsS // yehU // b2126 // ECK2118
btsT	b4354	btsT // yjiY // b4354 // ECK4344
btuB	b3966	btuB // bfe // cer // b3966 // ECK3958
btuC	b1711	btuC // b1711 // ECK1709
btuD	b1709	btuD // b1709 // ECK1707
btuE	b1710	btuE // b1710 // ECK1708
btuF	b0158	btuF // yadT // b0158 // ECK0157
btuR	b1270	btuR // cobA // b1270 // ECK1264
C0067		C0067
C0293	b4806	C0293 // b4806 // ECK4663
C0299		C0299
C0362		C0362
C0465		C0465
C0614		C0614
C0664		C0664
C0719		C0719
cadA	b4131	cadA // ldcI // b4131 // ECK4125
cadB	b4132	cadB // b4132 // ECK4126
cadC	b4133	cadC // b4133 // ECK4127
caiA	b0039	caiA // yaaO // b0039 // ECK0040
caiB	b0038	caiB // yaaN // b0038 // ECK0039
caiC	b0037	caiC // yaaM // b0037 // ECK0038
caiD	b0036	caiD // yaaL // b0036 // ECK0037
caiE	b0035	caiE // b0035 // ECK0036
caiF	b0034	caiF // b0034 // ECK0035
caiT	b0040	caiT // yaaP // b0040 // ECK0041
can	b0126	can // yadF // b0126 // ECK0125
carA	b0032	carA // arg // pyrA // b0032 // ECK0033
carB	b0033	carB // pyrA // b0033 // ECK0034
cas1	b2755	cas1 // ygbT // b2755 // ECK2750
cas2	b2754	cas2 // ygbF // b2754 // ECK2749
cas3	b2761	cas3 // ygcB // b2761 // ECK2756
casA	b2760	casA // ygcL // cse1 // b2760 // ECK2755
casB	b2759	casB // ygcK // cse2 // b2759 // ECK2754
casC	b2758	casC // ygcJ // cse4 // cas7 // b2758 // ECK2753
casD	b2757	casD // ygcI // cas5e // b2757 // ECK2752
casE	b2756	casE // ygcH // cse3 // cas6e // b2756 // ECK2751
cbeA	b2004	cbeA // yeeU // b2004 // ECK1997
cbl	b1987	cbl // b1987 // ECK1982
cbpA	b1000	cbpA // b1000 // ECK0991
cbpM	b0999	cbpM // yccD // b0999 // ECK0990
cbrA	b3690	cbrA // yidS // b3690 // ECK3682
cbrB	b3716	cbrB // yieI // b3716 // ECK3709
cbrC	b3717	cbrC // yieJ // b3717 // ECK3710
cbtA	b2005	cbtA // yeeV // b2005 // ECK1998
cca	b3056	cca // b3056 // ECK3046
ccmA	b2201	ccmA // yejW // b2201 // ECK2193
ccmB	b2200	ccmB // yejV // b2200 // ECK2192
ccmC	b2199	ccmC // yejT // yejU // b2199 // ECK2191
ccmD	b2198	ccmD // yojM // b2198 // ECK2190
ccmE	b2197	ccmE // yejS // b2197 // ECK2189
ccmF	b2196	ccmF // yejR // b2196 // ECK2188
ccmG	b2195	ccmG // yejQ // dsbE // b2195 // ECK2187
ccmH	b2194	ccmH // yejP // b2194 // ECK2186
ccp	b3518	ccp // yhjA // b3518 // ECK3503
cdaR	b0162	cdaR // sdaR // yaeG // b0162 // ECK0161
cdd	b2143	cdd // b2143 // ECK2136
cdgI	b1785	cdgI // yeaI // b1785 // ECK1783
cdh	b3918	cdh // b3918 // ECK3910
cdsA	b0175	cdsA // cds // b0175 // ECK0174
cecR	b0796	cecR // ybiH // b0796 // ECK0785
cedA	b1731	cedA // ydjP // b1731 // ECK1729
cfa	b1661	cfa // cdfA // b1661 // ECK1657
chaA	b1216	chaA // b1216 // ECK1210
chaB	b1217	chaB // b1217 // ECK1211
chaC	b1218	chaC // b1218 // ECK1212
chbA	b1736	chbA // celC // b1736 // ECK1734
chbB	b1738	chbB // celA // b1738 // ECK1736
chbC	b1737	chbC // celB // hic // b1737 // ECK1735
chbF	b1734	chbF // ydjD // celF // b1734 // ECK1732
chbG	b1733	chbG // celG // ydjC // b1733 // ECK1731
chbR	b1735	chbR // celD // b1735 // ECK1733
cheA	b1888	cheA // b1888 // ECK1889
cheB	b1883	cheB // b1883 // ECK1884
cheR	b1884	cheR // cheX // b1884 // ECK1885
cheW	b1887	cheW // b1887 // ECK1888
cheY	b1882	cheY // b1882 // ECK1883
cheZ	b1881	cheZ // b1881 // ECK1882
chiA	b3338	chiA // yheB // b3338 // ECK3325
chiP	b0681	chiP // ybfM // b0681 // ECK0669
chiQ	b0682	chiQ // ybfN // b0682 // ECK0670
chiX	b4585	chiX // sroB // rybC // micM // b4585 // ECK4396
chiZ	b4808	chiZ // b4808 // ECK4665
cho	b1741	cho // ydjQ // b1741 // ECK1739
chpB	b4225	chpB // yjfE // chpBK // b4225 // ECK4221
chpS	b4224	chpS // chpBI // yjfB // b4224 // ECK4220
cirA	b2155	cirA // cir // feuA // b2155 // ECK2148
citC	b0618	citC // ybeO // b0618 // ECK0611
citD	b0617	citD // ybdX // b0617 // ECK0610
citE	b0616	citE // ybdW // b0616 // ECK0609
citF	b0615	citF // ybdV // b0615 // ECK0608
citG	b0613	citG // ybdT // b0613 // ECK0606
citR	b0603	citR // ybdO // b0603 // ECK0597
citT	b0612	citT // ybdS // b0612 // ECK0605
citX	b0614	citX // ybdU // b0614 // ECK0607
clcA	b0155	clcA // eriC // yadQ // b0155 // ECK0154
clcB	b1592	clcB // ynfJ // mriT // b1592 // ECK1587
clpA	b0882	clpA // lopD // b0882 // ECK0873
clpB	b2592	clpB // htpM // b2592 // ECK2590
clpP	b0437	clpP // lopP // b0437 // ECK0431
clpS	b0881	clpS // yljA // b0881 // ECK0872
clpX	b0438	clpX // lopC // b0438 // ECK0432
clsA	b1249	clsA // yciJ // nov // cls // b1249 // ECK1243
clsB	b0789	clsB // ybhO // b0789 // ECK0778
clsC	b1046	clsC // ymdC // b1046 // ECK1032
cmk	b0910	cmk // ycaF // mssA // ycaG // b0910 // ECK0901
cmoA	b1870	cmoA // yecO // b1870 // ECK1871
cmoB	b1871	cmoB // yecP // b1871 // ECK1872
cmoM	b0921	cmoM // ycbD // smtA // b0921 // ECK0912
cmtA	b2933	cmtA // b2933 // ECK2928
cmtB	b2934	cmtB // tolM // b2934 // ECK2929
cnoX	b0492	cnoX // ybbN // b0492 // ECK0486
cnu	b1625	cnu // ydgT // b1625 // ECK1621
coaA	b3974	coaA // panK // rts // ts-9 // b3974 // ECK3966
coaD	b3634	coaD // yicA // kdtB // b3634 // ECK3624
coaE	b0103	coaE // yacE // b0103 // ECK0103
cobB	b1120	cobB // ycfY // b1120 // ECK1106
cobC	b0638	cobC // phpB // b0638 // ECK0631
cobS	b1992	cobS // b1992 // ECK1987
cobT	b1991	cobT // b1991 // ECK1986
cobU	b1993	cobU // b1993 // ECK1988
codA	b0337	codA // b0337 // ECK0334
codB	b0336	codB // b0336 // ECK0333
cof	b0446	cof // b0446 // ECK0440
comR	b1111	comR // ycfQ // b1111 // ECK1097
copA	b0484	copA // ybaR // b0484 // ECK0478
corA	b3816	corA // b3816 // ECK3810
cpdA	b3032	cpdA // icc // b3032 // ECK3023
cpdB	b4213	cpdB // b4213 // ECK4209
cpoB	b0742	cpoB // ybgF // b0742 // ECK0731
cpsB	b2049	cpsB // rfbM // manC // mni // b2049 // ECK2043
cpsG	b2048	cpsG // rfbK // manB // b2048 // ECK2042
cpxA	b3911	cpxA // rssE // ecfB // eup // ssd // ecf // b3911 // ECK3904
cpxP	b4484	cpxP // yiiO // b3913 // b4484 // ECK3906
cpxQ	b4716	cpxQ // b4716 // ECK4573
cpxR	b3912	cpxR // yiiA // b3912 // ECK3905
cra	b0080	cra // fruR // fruC // shl // b0080 // ECK0081
crcB	b0624	crcB // ybeI // b0624 // ECK0617
creA	b4397	UNCLASSIFIED
creB	b4398	creB // yjjE // ORF2 // b4398 // ECK4390
creC	b4399	creC // phoM // b4399 // ECK4391
creD	b4400	creD // refII // cet // b4400 // ECK4392
crl	b0240	crl // b0240 // ECK0241
crp	b3357	crp // cap // csm // gurB // b3357 // ECK3345
crr	b2417	crr // treD // gsr // iex // tgs // b2417 // ECK2412
csdA	b2810	csdA // ygdJ // b2810 // ECK2806
csdE	b2811	csdE // ygdK // b2811 // ECK2807
csgA	b1042	csgA // b1042 // ECK1028
csgB	b1041	csgB // b1041 // ECK1027
csgC	b1043	csgC // ycdE // b1043 // ECK1029
csgD	b1040	csgD // b1040 // ECK1026
csgE	b1039	csgE // b1039 // ECK1025
csgF	b1038	csgF // b1038 // ECK1024
csgG	b1037	csgG // b1037 // ECK1023
csgI	b0964	csgI // yccT // b0964 // ECK0955
csiE	b2535	csiE // csi-16 // b2535 // ECK2532
cspA	b3556	cspA // b3556 // ECK3543
cspB	b1557	cspB // b1557 // ECK1551
cspC	b1823	cspC // msmB // b1823 // ECK1821
cspD	b0880	cspD // ybjA // cspH // b0880 // ECK0871
cspE	b0623	cspE // gicA // msmC // b0623 // ECK0616
cspF	b1558	cspF // b1558 // ECK1552
cspG	b0990	cspG // b0990 // ECK0980
cspH	b0989	cspH // cspK // b0989 // ECK0979
cspI	b1552	cspI // cspJ // b1552 // ECK1546
csqR	b3884	csqR // yihW // b3884 // ECK3877
csrA	b2696	csrA // zfiA // b2696 // ECK2691
csrB	b4408	csrB // b4408 // ECK2787
csrC	b4457	csrC // sraK // psrA21 // ryiB // tpk2 // IS198 // b4457 // ECK3858
csrD	b3252	csrD // yhdA // b3252 // ECK3240
cstA	b0598	cstA // ybdC // b0598 // ECK0591
cueO	b0123	cueO // yacK // b0123 // ECK0122
cueR	b0487	cueR // copR // ybbI // b0487 // ECK0481
curA	b1449	UNCLASSIFIED
cusA	b0575	cusA // ybdE // b0575 // ECK0567
cusB	b0574	cusB // ylcD // b0574 // ECK0566
cusC	b0572	cusC // ibeB // ylcB // b0572 // ECK0564
cusF	b0573	cusF // cusX // ylcC // b0573 // ECK0565
cusR	b0571	cusR // ylcA // b0571 // ECK0563
cusS	b0570	cusS // ybcZ // b0570 // ECK0562
cutA	b4137	cutA // cutA1 // b4137 // ECK4131
cutC	b1874	UNCLASSIFIED
cvpA	b2313	cvpA // dedE // b2313 // ECK2307
cvrA	b1191	cvrA // ycgO // b1191 // ECK1179
cyaA	b3806	cyaA // cya // b3806 // ECK3800
cyaR	b4438	cyaR // ryeE // b4438 // ECK2078
cyaY	b3807	cyaY // b3807 // ECK3801
