All-Genes	Accession-1	Names
3'ETS-<i>leuZ</i>	b4759	UNCLASSIFIED
aaaD	b4634	aaaD // ylcF // b4634 // ECK4439
aaaE	b4693	aaaE // b4693 // ECK1135
aaeA	b3241	aaeA // yhcQ // b3241 // ECK3230
aaeB	b3240	aaeB // yhcP // b3240 // ECK3229
aaeR	b3243	aaeR // yhcS // qseA // b3243 // ECK3232
aaeX	b3242	aaeX // yhcR // b3242 // ECK3231
aas	b2836	aas // b2836 // ECK2832
aat	b0885	aat // ycaA // b0885 // ECK0876
abgA	b1338	abgA // ydaJ // b1338 // ECK1334
abgB	b1337	abgB // ydaI // b1337 // ECK1333
abgR	b1339	abgR // b1339 // ECK1335
abgT	b1336	abgT // ydaH // b1336 // ECK1332
abpA	b2628	abpA // yfjL // b2628 // ECK2624
abpB	b2627	abpB // yfjK // b2627 // ECK2623
abrB	b0715	abrB // ybgN // b0715 // ECK0704
accA	b0185	accA // b0185 // ECK0184
accB	b3255	accB // fabE // b3255 // ECK3242
accC	b3256	accC // fabG // b3256 // ECK3243
accD	b2316	accD // dedB // usg // b2316 // ECK2310
aceA	b4015	aceA // icl // b4015 // ECK4007
aceB	b4014	aceB // mas // b4014 // ECK4006
aceE	b0114	aceE // b0114 // ECK0113
aceF	b0115	aceF // b0115 // ECK0114
aceK	b4016	aceK // b4016 // ECK4008
aceK-int	b4830	UNCLASSIFIED
ackA	b2296	ackA // b2296 // ECK2290
ackB		ackB
acnA	b1276	acnA // acn // b1276 // ECK1271
acnB	b0118	acnB // yacJ // yacI // b0118 // ECK0117
acpH	b0404	acpH // yajB // b0404 // ECK0398
acpP	b1094	acpP // b1094 // ECK1080
acpS	b2563	acpS // dpj // b2563 // ECK2561
acpT	b3475	acpT // yhhU // b3475 // ECK3459
acrA	b0463	acrA // sipB // Mb // lir // mbl // mtcA // nbsA // b0463 // ECK0457
acrB	b0462	acrB // acrE // b0462 // ECK0456
acrD	b2470	acrD // yffA // b2470 // ECK2465
acrE	b3265	UNCLASSIFIED
acrF	b3266	acrF // envD // b3266 // ECK3253
acrR	b0464	acrR // ybaH // b0464 // ECK0458
acrZ	b0762	acrZ // ybhT // b0762 // ECK0751
